"","Value","Std. Error","t value","Pr(>|t|)"
"(Intercept)",78.191,0.524,149.177,0
"sexomujeres",-2.987,0.297,-10.067,0
"sector_fusionadoprivado",-11.361,0.408,-27.847,0
"region_fusionadasNOA NEA Cuyo",-3.621,0.317,-11.439,0
"region_fusionadasPatagónica",3.941,0.45,8.756,0
"grupos_edades_2[33,46)",2.156,0.392,5.496,0
"grupos_edades_2[46,88]",-0.636,0.381,-1.667,0.096
